FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,MARITAL_STATUS,Stato civile,Tempo (TIME_PERIOD),Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y33,33 anni,99,Totale,2023,317416,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y34,34 anni,99,Totale,2023,325045,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y35,35 anni,99,Totale,2023,320066,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y36,36 anni,99,Totale,2023,322291,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y37,37 anni,99,Totale,2023,333188,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y38,38 anni,99,Totale,2023,339842,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y39,39 anni,99,Totale,2023,346020,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y40,40 anni,99,Totale,2023,358824,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y41,41 anni,99,Totale,2023,361856,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y42,42 anni,99,Totale,2023,369601,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y43,43 anni,99,Totale,2023,383228,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y44,44 anni,99,Totale,2023,402930,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y45,45 anni,99,Totale,2023,417360,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y46,46 anni,99,Totale,2023,435408,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y47,47 anni,99,Totale,2023,456290,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y48,48 anni,99,Totale,2023,474509,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y49,49 anni,99,Totale,2023,472809,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y50,50 anni,99,Totale,2023,476472,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y51,51 anni,99,Totale,2023,482685,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y52,52 anni,99,Totale,2023,477896,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y53,53 anni,99,Totale,2023,490749,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y54,54 anni,99,Totale,2023,486960,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y55,55 anni,99,Totale,2023,489725,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y56,56 anni,99,Totale,2023,492662,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y57,57 anni,99,Totale,2023,491233,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y58,58 anni,99,Totale,2023,497652,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y59,59 anni,99,Totale,2023,468467,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y60,60 anni,99,Totale,2023,452536,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y61,61 anni,99,Totale,2023,443210,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y62,62 anni,99,Totale,2023,428559,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y63,63 anni,99,Totale,2023,416976,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y64,64 anni,99,Totale,2023,398452,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y65,65 anni,99,Totale,2023,393494,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y66,66 anni,99,Totale,2023,384653,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y67,67 anni,99,Totale,2023,376658,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y68,68 anni,99,Totale,2023,370081,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y69,69 anni,99,Totale,2023,351087,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y70,70 anni,99,Totale,2023,345131,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y71,71 anni,99,Totale,2023,342402,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y72,72 anni,99,Totale,2023,352672,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y73,73 anni,99,Totale,2023,352094,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y74,74 anni,99,Totale,2023,365225,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y75,75 anni,99,Totale,2023,352934,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y76,76 anni,99,Totale,2023,349678,e,Dato stimato
